GCF_000427015.1_kleoxysa2,Klebsiella grimontii
GCF_001052235.1_ASM105223v1,Klebsiella grimontii
GCF_001052825.1_ASM105282v1,Klebsiella grimontii
GCF_001053665.1_ASM105366v1,Klebsiella grimontii
GCF_001054995.1_ASM105499v1,Klebsiella grimontii
GCF_001060405.1_ASM106040v1,Klebsiella grimontii
GCF_001065765.1_ASM106576v1,Klebsiella grimontii
GCF_001066775.1_ASM106677v1,Klebsiella grimontii
GCF_001070955.1_ASM107095v1,Klebsiella grimontii
GCF_001072735.1_ASM107273v1,Klebsiella grimontii
GCF_001072835.1_ASM107283v1,Klebsiella grimontii
GCF_001076805.1_ASM107680v1,Klebsiella grimontii
GCF_001633115.1_ASM163311v1,Klebsiella grimontii
GCF_002080105.1_ASM208010v1,Klebsiella grimontii
GCF_002090195.1_ASM209019v1,Klebsiella grimontii
GCF_002556465.1_ASM255646v1,Klebsiella grimontii
GCF_002559635.1_ASM255963v1,Klebsiella grimontii
GCF_002856195.1_ASM285619v1,Klebsiella grimontii
GCF_002880715.1_ASM288071v1,Klebsiella grimontii
GCF_003261555.1_ASM326155v1,Klebsiella grimontii
GCF_003339485.1_ASM333948v1,Klebsiella grimontii
GCF_003416995.1_ASM341699v1,Klebsiella grimontii
GCF_003417005.1_ASM341700v1,Klebsiella grimontii
GCF_004104525.2_ASM410452v2,Klebsiella grimontii
GCF_004343645.1_ASM434364v1,Klebsiella grimontii
GCF_008120425.1_ASM812042v1,Klebsiella grimontii
GCF_008120465.1_ASM812046v1,Klebsiella grimontii
GCF_008120915.1_ASM812091v1,Klebsiella grimontii
GCF_008364425.1_ASM836442v1,Klebsiella grimontii
GCF_009721385.1_ASM972138v1,Klebsiella grimontii
GCF_009905335.1_ASM990533v1,Klebsiella grimontii
GCF_013590775.1_ASM1359077v1,Klebsiella grimontii
GCF_013606065.1_ASM1360606v1,Klebsiella grimontii
GCF_013608545.1_ASM1360854v1,Klebsiella grimontii
GCF_013624225.1_ASM1362422v1,Klebsiella grimontii
GCF_013635015.1_ASM1363501v1,Klebsiella grimontii
GCF_013707575.1_ASM1370757v1,Klebsiella grimontii
GCF_013730235.1_ASM1373023v1,Klebsiella grimontii
GCF_013734595.1_ASM1373459v1,Klebsiella grimontii
GCF_013735435.1_ASM1373543v1,Klebsiella grimontii
GCF_013744615.1_ASM1374461v1,Klebsiella grimontii
GCF_013926505.1_ASM1392650v1,Klebsiella grimontii
GCF_014103875.1_ASM1410387v1,Klebsiella grimontii
GCF_014104195.1_ASM1410419v1,Klebsiella grimontii
GCF_014655015.1_ASM1465501v1,Klebsiella grimontii
